total_orders,avg_order_value,total_spend,recency_days,customer_tenure_days,orders_last_30d,orders_last_60d,orders_last_90d,avg_discount,discount_usage_rate,avg_kpt,avg_rider_wait,avg_distance,churn
8,647.065,5176.52,2,93,3.0,4.0,7.0,80.9975,0.5,16.71375,1.9,5.0,0
1,728.7,728.7,46,0,0.0,1.0,1.0,694.0,1.0,24.15,6.0,1.0,1
1,628.95,628.95,117,0,0.0,0.0,0.0,0.0,0.0,16.6,9.8,3.0,1
1,974.4,974.4,6,0,1.0,1.0,1.0,0.0,0.0,12.13,3.7,6.0,0
3,556.9566666666666,1670.87,27,21,1.0,3.0,3.0,27.900000000000002,0.3333333333333333,13.843333333333334,3.4,1.0,0
1,241.5,241.5,5,0,1.0,1.0,1.0,80.0,1.0,17.92,6.9,1.0,0
1,603.0,603.0,107,0,0.0,0.0,0.0,145.9,1.0,6.63,2.0,2.0,1
2,429.45,858.9,30,55,0.0,1.0,2.0,50.0,0.5,15.05,1.3,5.5,0
1,1110.9,1110.9,42,0,0.0,1.0,1.0,0.0,0.0,10.37,0.2,3.0,1
1,628.95,628.95,39,0,0.0,1.0,1.0,0.0,0.0,15.42,6.8,7.0,1
1,604.8,604.8,125,0,0.0,0.0,0.0,112.0,1.0,10.55,0.2,6.0,1
2,623.175,1246.35,31,0,0.0,2.0,2.0,150.0,0.5,30.259999999999998,0.85,3.0,1
1,847.67,847.67,50,0,0.0,1.0,1.0,244.7,1.0,18.0,1.0,1.0,1
3,656.0,1968.0,6,29,2.0,3.0,3.0,97.90333333333332,1.0,19.473333333333333,3.466666666666667,6.0,0
1,1030.3,1030.3,49,0,0.0,1.0,1.0,276.76,1.0,29.15,1.3,2.0,1
1,628.95,628.95,49,0,0.0,1.0,1.0,0.0,0.0,17.22,6.9,2.0,1
3,704.2233333333334,2112.67,29,40,1.0,2.0,3.0,41.31,0.3333333333333333,15.533333333333333,0.7333333333333334,5.666666666666667,0
1,372.75,372.75,142,0,0.0,0.0,0.0,325.0,1.0,26.83,11.0,4.0,1
1,413.65,413.65,20,0,1.0,1.0,1.0,374.05,1.0,16.18,8.5,2.0,0
2,226.275,452.55,56,24,0.0,1.0,2.0,94.5,1.0,10.29,5.15,5.0,1
1,1088.08,1088.08,33,0,0.0,1.0,1.0,161.73,1.0,20.0,5.5,10.0,1
1,271.95,271.95,84,0,0.0,0.0,1.0,0.0,0.0,20.5,0.4,2.0,1
1,260.4,260.4,95,0,0.0,0.0,0.0,100.0,1.0,18.42,4.3,2.0,1
1,278.25,278.25,58,0,0.0,1.0,1.0,90.0,1.0,18.38,17.1,3.0,1
2,475.65000000000003,951.3000000000001,6,70,1.0,1.0,2.0,0.0,0.0,13.625,1.5,6.0,0
1,220.5,220.5,105,0,0.0,0.0,0.0,100.0,1.0,13.63,4.3,3.0,1
1,481.95,481.95,31,0,0.0,1.0,1.0,90.0,1.0,17.12,3.5,2.0,1
3,573.3000000000001,1719.9,104,28,0.0,0.0,0.0,33.0,0.3333333333333333,13.316666666666668,3.1333333333333333,0.5,1
1,784.35,784.35,141,0,0.0,0.0,0.0,112.0,1.0,16.35,1.2,5.0,1
1,509.25,509.25,72,0,0.0,0.0,1.0,100.0,1.0,13.08,1.1,3.0,1
1,555.45,555.45,68,0,0.0,0.0,1.0,100.0,1.0,6.75,1.0,5.0,1
1,261.45,261.45,76,0,0.0,0.0,1.0,100.0,1.0,13.68,1.3,3.0,1
1,1428.88,1428.88,55,0,0.0,1.0,1.0,0.0,0.0,34.6,1.8,4.0,1
1,815.85,815.85,100,0,0.0,0.0,0.0,100.0,1.0,19.75,13.8,10.0,1
1,912.98,912.98,6,0,1.0,1.0,1.0,105.98,1.0,16.52,3.5,4.0,0
1,333.38,333.38,60,0,0.0,0.0,1.0,317.5,1.0,12.25,0.5,1.0,1
5,1883.9099999999999,9419.55,13,115,1.0,1.0,4.0,40.0,0.2,21.006,0.9400000000000001,3.0,0
1,309.75,309.75,96,0,0.0,0.0,0.0,0.0,0.0,18.33,1.5,2.0,1
1,973.35,973.35,127,0,0.0,0.0,0.0,0.0,0.0,14.57,7.4,1.0,1
1,267.75,267.75,77,0,0.0,0.0,1.0,100.0,1.0,15.87,3.0,9.0,1
1,366.45,366.45,143,0,0.0,0.0,0.0,99.0,1.0,13.05,1.6,2.0,1
3,1062.25,3186.75,108,5,0.0,0.0,0.0,0.0,0.0,13.01,0.5,2.0,1
4,688.545,2754.18,26,124,1.0,1.0,2.0,105.2425,1.0,14.9125,4.25,7.5,0
1,378.0,378.0,132,0,0.0,0.0,0.0,99.0,1.0,7.97,2.2,0.5,1
1,598.5,598.5,151,0,0.0,0.0,0.0,50.0,1.0,11.87,0.6,8.0,1
1,756.0,756.0,53,0,0.0,1.0,1.0,0.0,0.0,16.4,7.1,4.0,1
1,1109.85,1109.85,48,0,0.0,1.0,1.0,0.0,0.0,24.33,14.4,3.0,1
1,3028.2,3028.2,64,0,0.0,0.0,1.0,0.0,0.0,22.65,2.7,2.0,1
1,593.25,593.25,79,0,0.0,0.0,1.0,100.0,1.0,10.7,1.3,3.0,1
1,435.75,435.75,120,0,0.0,0.0,0.0,93.0,1.0,2.7,3.0,7.0,1
1,445.2,445.2,16,0,1.0,1.0,1.0,424.0,1.0,17.28,9.8,6.0,0
4,968.0999999999999,3872.3999999999996,54,87,0.0,1.0,1.0,140.75,0.75,22.4575,11.125,5.5,1
2,418.95,837.9,77,36,0.0,0.0,1.0,0.0,0.0,14.235,2.75,1.0,1
1,612.36,612.36,66,0,0.0,0.0,1.0,164.8,1.0,22.0,6.5,3.0,1
1,1428.88,1428.88,84,0,0.0,0.0,1.0,0.0,0.0,31.08,3.6,4.0,1
1,593.25,593.25,127,0,0.0,0.0,0.0,93.0,1.0,12.85,8.0,4.0,1
1,666.75,666.75,146,0,0.0,0.0,0.0,112.0,1.0,18.17,0.5,5.0,1
1,502.95,502.95,78,0,0.0,0.0,1.0,100.0,1.0,13.85,0.9,1.0,1
2,225.225,450.45,74,74,0.0,0.0,1.0,74.5,1.0,11.035,4.449999999999999,2.0,1
2,704.075,1408.15,52,88,0.0,1.0,1.0,46.5,0.5,15.985,3.0,2.0,1
1,236.25,236.25,148,0,0.0,0.0,0.0,100.0,1.0,16.23,1.9,3.0,1
1,838.95,838.95,114,0,0.0,0.0,0.0,0.0,0.0,15.6,1.0,3.0,1
1,168.0,168.0,121,0,0.0,0.0,0.0,99.0,1.0,14.75,0.6,2.0,1
1,459.9,459.9,140,0,0.0,0.0,0.0,100.0,1.0,10.73,0.5,0.5,1
4,413.4375,1653.75,0,73,1.0,1.0,4.0,40.0,0.5,20.752499999999998,5.425,5.75,0
2,1544.585,3089.17,32,52,0.0,1.0,2.0,195.465,1.0,17.05,4.0,1.0,1
1,691.95,691.95,65,0,0.0,0.0,1.0,0.0,0.0,17.67,1.8,7.0,1
1,727.65,727.65,92,0,0.0,0.0,0.0,135.0,1.0,19.07,9.0,8.0,1
1,824.25,824.25,73,0,0.0,0.0,1.0,175.0,1.0,15.5,1.3,5.0,1
1,523.95,523.95,104,0,0.0,0.0,0.0,100.0,1.0,25.87,1.7,16.0,1
1,651.0,651.0,20,0,1.0,1.0,1.0,0.0,0.0,20.92,2.0,2.0,0
1,220.5,220.5,109,0,0.0,0.0,0.0,100.0,1.0,16.85,5.8,2.0,1
1,166.95,166.95,83,0,0.0,0.0,1.0,100.0,1.0,14.37,2.2,4.0,1
4,792.365,3169.46,18,131,2.0,2.0,2.0,81.6175,0.5,20.4925,8.3,2.0,0
1,857.85,857.85,147,0,0.0,0.0,0.0,0.0,0.0,13.75,2.0,6.0,1
3,782.6,2347.8,36,72,0.0,1.0,1.0,30.0,0.3333333333333333,15.676666666666668,4.766666666666667,5.833333333333333,1
1,614.25,614.25,35,0,0.0,1.0,1.0,0.0,0.0,17.28,1.8,1.0,1
1,1015.35,1015.35,30,0,0.0,1.0,1.0,0.0,0.0,47.07,15.5,2.0,0
1,987.0,987.0,45,0,0.0,1.0,1.0,157.0,1.0,14.88,0.8,1.0,1
1,827.4,827.4,112,0,0.0,0.0,0.0,200.0,1.0,20.9,3.5,4.0,1
1,735.46,735.46,47,0,0.0,1.0,1.0,197.56,1.0,17.13,0.2,0.5,1
1,753.95,753.95,75,0,0.0,0.0,1.0,0.0,0.0,14.72,2.1,6.0,1
1,827.4,827.4,140,0,0.0,0.0,0.0,200.0,1.0,17.77,1.0,15.0,1
1,628.95,628.95,30,0,0.0,1.0,1.0,0.0,0.0,9.03,4.7,9.0,0
1,1240.67,1240.67,37,0,0.0,1.0,1.0,184.41,1.0,18.55,14.8,3.0,1
1,303.45,303.45,24,0,1.0,1.0,1.0,90.0,1.0,16.35,7.0,4.0,0
1,366.45,366.45,147,0,0.0,0.0,0.0,0.0,0.0,12.72,1.1,6.0,1
1,722.4,722.4,24,0,1.0,1.0,1.0,0.0,0.0,14.67,3.5,11.0,0
1,502.95,502.95,30,0,0.0,1.0,1.0,0.0,0.0,16.35,12.6,1.0,0
1,628.95,628.95,77,0,0.0,0.0,1.0,0.0,0.0,16.05,1.1,6.0,1
1,939.75,939.75,79,0,0.0,0.0,1.0,0.0,0.0,20.7,0.7,5.0,1
1,512.4,512.4,147,0,0.0,0.0,0.0,0.0,0.0,24.65,0.5,1.0,1
1,1144.5,1144.5,65,0,0.0,0.0,1.0,80.0,1.0,20.08,1.5,2.0,1
2,492.45000000000005,984.9000000000001,14,58,1.0,1.0,2.0,110.0,1.0,12.425,3.4499999999999997,8.0,0
1,1205.4,1205.4,64,0,0.0,0.0,1.0,100.0,1.0,18.18,1.7,2.0,1
1,660.45,660.45,129,0,0.0,0.0,0.0,0.0,0.0,24.2,0.3,2.0,1
2,638.4,1276.8,62,1,0.0,0.0,2.0,0.0,0.0,16.795,1.75,2.0,1
1,706.55,706.55,104,0,0.0,0.0,0.0,129.9,1.0,15.84,3.3,1.0,1
2,738.15,1476.3,86,54,0.0,0.0,1.0,0.0,0.0,26.355,10.700000000000001,4.0,1
1,534.45,534.45,83,0,0.0,0.0,1.0,100.0,1.0,10.12,2.2,6.0,1
1,541.8,541.8,124,0,0.0,0.0,0.0,93.0,1.0,11.23,3.3,9.0,1
2,823.2,1646.4,105,6,0.0,0.0,0.0,100.0,0.5,14.05,1.7,11.0,1
1,345.45,345.45,45,0,0.0,1.0,1.0,0.0,0.0,9.9,5.9,3.0,1
1,322.88,322.88,4,0,1.0,1.0,1.0,307.5,1.0,19.05,1.0,3.0,0
1,586.95,586.95,82,0,0.0,0.0,1.0,100.0,1.0,22.25,6.3,2.0,1
1,282.45,282.45,147,0,0.0,0.0,0.0,0.0,0.0,23.98,5.8,2.0,1
4,542.0625,2168.25,98,50,0.0,0.0,0.0,370.0,0.75,15.1225,4.25,3.0,1
4,1040.55,4162.2,69,76,0.0,0.0,1.0,162.5,1.0,22.23,3.275,4.25,1
1,838.95,838.95,79,0,0.0,0.0,1.0,0.0,0.0,17.85,4.3,4.0,1
1,366.45,366.45,139,0,0.0,0.0,0.0,0.0,0.0,16.47,0.6,3.0,1
2,1147.3899999999999,2294.7799999999997,29,105,1.0,1.0,1.0,169.75,0.5,26.175,5.8,6.0,0
1,974.4,974.4,77,0,0.0,0.0,1.0,0.0,0.0,16.1,2.0,6.0,1
1,733.95,733.95,88,0,0.0,0.0,1.0,100.0,1.0,12.33,1.8,1.0,1
2,231.0,462.0,130,4,0.0,0.0,0.0,99.0,1.0,15.155,1.2000000000000002,1.0,1
1,362.25,362.25,45,0,0.0,1.0,1.0,90.0,1.0,16.35,0.4,3.0,1
2,307.28499999999997,614.5699999999999,66,38,0.0,0.0,1.0,125.35,1.0,12.129999999999999,0.8,5.0,1
3,677.25,2031.75,59,26,0.0,1.0,3.0,33.333333333333336,0.3333333333333333,13.766666666666666,0.5,5.0,1
1,901.95,901.95,68,0,0.0,0.0,1.0,0.0,0.0,9.08,3.6,8.0,1
1,681.45,681.45,116,0,0.0,0.0,0.0,0.0,0.0,10.25,1.0,5.0,1
1,614.25,614.25,95,0,0.0,0.0,0.0,0.0,0.0,22.89,3.7,4.0,1
1,586.95,586.95,94,0,0.0,0.0,0.0,100.0,1.0,15.25,0.6,1.0,1
1,229.95,229.95,142,0,0.0,0.0,0.0,100.0,1.0,13.92,5.0,11.0,1
2,598.66,1197.32,40,5,0.0,2.0,2.0,63.349999999999994,1.0,16.44,6.2,8.0,1
1,1010.7,1010.7,107,0,0.0,0.0,0.0,229.0,1.0,17.7,1.6,2.0,1
1,925.05,925.05,36,0,0.0,1.0,1.0,157.0,1.0,18.27,7.7,2.0,1
1,1478.4,1478.4,50,0,0.0,1.0,1.0,0.0,0.0,24.32,0.3,5.0,1
3,785.0500000000001,2355.15,1,96,2.0,2.0,2.0,73.33333333333333,0.6666666666666666,17.773333333333333,6.533333333333334,5.333333333333333,0
1,1558.31,1558.31,111,0,0.0,0.0,0.0,261.9,1.0,32.08,12.1,3.0,1
1,341.25,341.25,12,0,1.0,1.0,1.0,0.0,0.0,12.3,0.2,4.0,0
1,796.95,796.95,96,0,0.0,0.0,0.0,100.0,1.0,21.45,11.4,9.0,1
3,775.6,2326.8,36,57,0.0,1.0,2.0,0.0,0.0,21.41,7.033333333333332,1.3333333333333333,1
1,334.95,334.95,104,0,0.0,0.0,0.0,0.0,0.0,14.25,0.6,2.0,1
6,776.5633333333334,4659.38,17,43,1.0,5.0,6.0,172.91666666666666,0.5,19.256666666666664,3.716666666666667,1.0,0
1,660.45,660.45,138,0,0.0,0.0,0.0,0.0,0.0,17.19,1.8,5.0,1
2,353.85,707.7,57,2,0.0,2.0,2.0,0.0,0.0,14.52,3.35,1.0,1
1,649.95,649.95,122,0,0.0,0.0,0.0,99.0,1.0,15.58,5.5,5.0,1
1,974.4,974.4,139,0,0.0,0.0,0.0,200.0,1.0,36.85,3.9,5.0,1
4,697.915,2791.66,6,30,2.0,4.0,4.0,53.82,0.5,15.81,7.975,5.5,0
1,953.4,953.4,83,0,0.0,0.0,1.0,100.0,1.0,24.65,1.2,6.0,1
1,187.95,187.95,16,0,1.0,1.0,1.0,90.0,1.0,11.88,9.5,1.0,0
2,817.4250000000001,1634.8500000000001,89,30,0.0,0.0,1.0,150.0,1.0,14.7,7.05,11.0,1
3,375.02666666666664,1125.08,3,110,1.0,2.0,2.0,94.83333333333333,0.3333333333333333,16.166666666666668,7.0,5.0,0
1,334.95,334.95,59,0,0.0,1.0,1.0,0.0,0.0,14.47,3.8,1.0,1
1,1141.35,1141.35,147,0,0.0,0.0,0.0,0.0,0.0,15.33,2.5,2.0,1
1,837.9,837.9,97,0,0.0,0.0,0.0,100.0,1.0,14.93,1.2,7.0,1
1,504.0,504.0,118,0,0.0,0.0,0.0,99.0,1.0,13.42,5.7,1.0,1
1,796.95,796.95,109,0,0.0,0.0,0.0,100.0,1.0,18.15,2.2,5.0,1
1,770.18,770.18,43,0,0.0,1.0,1.0,334.5,1.0,20.15,3.9,6.0,1
1,177.45,177.45,43,0,0.0,1.0,1.0,90.0,1.0,10.15,1.8,5.0,1
2,471.45000000000005,942.9000000000001,106,8,0.0,0.0,0.0,0.0,0.0,18.509999999999998,8.85,4.0,1
1,806.09,806.09,2,0,1.0,1.0,1.0,240.3,1.0,15.23,0.6,6.0,0
1,215.25,215.25,5,0,1.0,1.0,1.0,120.0,1.0,11.32,9.0,6.0,0
2,322.09,644.18,18,14,1.0,2.0,2.0,306.75,1.0,15.45,4.8,2.5,0
2,931.875,1863.75,17,54,1.0,1.0,2.0,50.0,0.5,13.59,1.9500000000000002,3.0,0
1,530.25,530.25,9,0,1.0,1.0,1.0,80.0,1.0,16.4,8.8,5.0,0
1,637.35,637.35,67,0,0.0,0.0,1.0,0.0,0.0,15.85,12.9,6.0,1
1,759.68,759.68,45,0,0.0,1.0,1.0,723.5,1.0,17.95,8.9,5.0,1
1,689.85,689.85,44,0,0.0,1.0,1.0,90.0,1.0,20.38,11.2,6.0,1
1,1193.85,1193.85,78,0,0.0,0.0,1.0,0.0,0.0,17.17,0.3,5.0,1
3,808.85,2426.55,34,55,0.0,2.0,3.0,58.333333333333336,0.3333333333333333,11.29,0.5,3.0,1
1,267.75,267.75,113,0,0.0,0.0,0.0,100.0,1.0,14.38,4.6,7.0,1
1,900.9,900.9,108,0,0.0,0.0,0.0,100.0,1.0,16.32,0.3,1.0,1
1,509.25,509.25,74,0,0.0,0.0,1.0,100.0,1.0,34.09,0.8,3.0,1
1,900.9,900.9,69,0,0.0,0.0,1.0,0.0,0.0,14.43,1.4,8.0,1
1,659.4,659.4,147,0,0.0,0.0,0.0,0.0,0.0,12.65,0.2,3.0,1
2,418.95,837.9,48,19,0.0,1.0,2.0,50.0,0.5,10.89,1.45,3.0,1
2,911.9250000000001,1823.8500000000001,75,8,0.0,0.0,2.0,50.0,0.5,16.310000000000002,6.7,3.0,1
